F S UID          PID    PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
1 S root          79       2  0   9   - -     0 -      08:49 ?        00:00:00 [idle_inject/1]
1 S root          80       2  0 -40   - -     0 -      08:49 ?        00:00:00 [migration/1]
1 S root          81       2  0  80   0 -     0 -      08:49 ?        00:00:00 [ksoftirqd/1]
1 I root          83       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/1:0H-events_highpri]
5 S root          84       2  0  80   0 -     0 -      08:49 ?        00:00:00 [cpuhp/3]
1 S root          85       2  0   9   - -     0 -      08:49 ?        00:00:00 [idle_inject/3]
1 S root          86       2  0 -40   - -     0 -      08:49 ?        00:00:00 [migration/3]
1 S root          87       2  0  80   0 -     0 -      08:49 ?        00:00:00 [ksoftirqd/3]
1 I root          88       2  0  80   0 -     0 -      08:49 ?        00:00:00 [kworker/3:0-events]
1 I root          89       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/3:0H-events_highpri]
5 S root          90       2  0  80   0 -     0 -      08:49 ?        00:00:00 [cpuhp/5]
1 S root          91       2  0   9   - -     0 -      08:49 ?        00:00:00 [idle_inject/5]
1 S root          92       2  0 -40   - -     0 -      08:49 ?        00:00:00 [migration/5]
1 S root          93       2  0  80   0 -     0 -      08:49 ?        00:00:00 [ksoftirqd/5]
1 I root          95       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/5:0H-events_highpri]
5 S root          96       2  0  80   0 -     0 -      08:49 ?        00:00:00 [cpuhp/7]
1 S root          97       2  0   9   - -     0 -      08:49 ?        00:00:00 [idle_inject/7]
1 S root          98       2  0 -40   - -     0 -      08:49 ?        00:00:00 [migration/7]
1 S root          99       2  0  80   0 -     0 -      08:49 ?        00:00:00 [ksoftirqd/7]
1 I root         101       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/7:0H-events_highpri]
5 S root         102       2  0  80   0 -     0 -      08:49 ?        00:00:00 [cpuhp/9]
1 S root         103       2  0   9   - -     0 -      08:49 ?        00:00:00 [idle_inject/9]
1 S root         104       2  0 -40   - -     0 -      08:49 ?        00:00:00 [migration/9]
1 S root         105       2  0  80   0 -     0 -      08:49 ?        00:00:00 [ksoftirqd/9]
1 I root         106       2  0  80   0 -     0 -      08:49 ?        00:00:00 [kworker/9:0-mm_percpu_wq]
1 I root         107       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/9:0H-events_highpri]
5 S root         108       2  0  80   0 -     0 -      08:49 ?        00:00:00 [cpuhp/11]
1 S root         109       2  0   9   - -     0 -      08:49 ?        00:00:00 [idle_inject/11]
1 S root         110       2  0 -40   - -     0 -      08:49 ?        00:00:00 [migration/11]
1 S root         111       2  0  80   0 -     0 -      08:49 ?        00:00:00 [ksoftirqd/11]
1 I root         113       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/11:0H-events_highpri]
5 S root         114       2  0  80   0 -     0 -      08:49 ?        00:00:00 [kdevtmpfs]
1 I root         115       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/R-inet_frag_wq]
1 S root         116       2  0  80   0 -     0 -      08:49 ?        00:00:00 [kauditd]
1 S root         117       2  0  80   0 -     0 -      08:49 ?        00:00:00 [khungtaskd]
1 S root         118       2  0  80   0 -     0 -      08:49 ?        00:00:00 [oom_reaper]
1 I root         121       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/R-writeback]
1 S root         122       2  0  80   0 -     0 -      08:49 ?        00:00:00 [kcompactd0]
1 S root         123       2  0  85   5 -     0 -      08:49 ?        00:00:00 [ksmd]
1 S root         124       2  0  99  19 -     0 -      08:49 ?        00:00:00 [khugepaged]
1 I root         125       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/R-kintegrityd]
1 I root         126       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/R-kblockd]
1 I root         127       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/R-blkcg_punt_bio]
1 S root         128       2  0   9   - -     0 -      08:49 ?        00:00:07 [irq/9-acpi]
1 I root         132       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/R-tpm_dev_wq]
1 I root         134       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/R-ata_sff]
1 I root         135       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/R-md]
1 I root         136       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/R-md_bitmap]
1 I root         137       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/R-edac-poller]
1 I root         138       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/R-devfreq_wq]
1 S root         140       2  0   9   - -     0 -      08:49 ?        00:00:00 [watchdogd]
1 I root         141       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/13:1H-kblockd]
1 S root         142       2  0  80   0 -     0 -      08:49 ?        00:00:00 [kswapd0]
1 S root         143       2  0  80   0 -     0 -      08:49 ?        00:00:00 [ecryptfs-kthread]
1 I root         144       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/R-kthrotld]
1 S root         145       2  0   9   - -     0 -      08:49 ?        00:00:00 [irq/122-aerdrv]
1 S root         146       2  0   9   - -     0 -      08:49 ?        00:00:00 [irq/123-aerdrv]
1 I root         148       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/R-acpi_thermal_pm]
1 S root         151       2  0  80   0 -     0 -      08:49 ?        00:00:00 [hwrng]
1 I root         152       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/R-hfi-updates]
1 I root         153       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/R-mld]
1 I root         154       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/2:1H-kblockd]
1 I root         155       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/R-ipv6_addrconf]
1 I root         157       2  0  80   0 -     0 -      08:49 ?        00:00:00 [kworker/3:1-events]
1 I root         163       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/R-kstrp]
1 I root         164       2  0  80   0 -     0 -      08:49 ?        00:00:00 [kworker/5:1-i915-unordered]
1 I root         169       2  0  80   0 -     0 -      08:49 ?        00:00:00 [kworker/7:1-i915-unordered]
1 I root         170       2  0  80   0 -     0 -      08:49 ?        00:00:00 [kworker/11:1-i915-unordered]
1 I root         185       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/R-charger_manager]
1 I root         186       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/0:1H-i915_cleanup]
1 I root         212       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/15:1H-kblockd]
1 I root         226       2  0  80   0 -     0 -      08:49 ?        00:00:00 [kworker/1:2-i915-unordered]
1 I root         228       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/9:1H-i915_cleanup]
1 I root         230       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/1:1H-i915_cleanup]
1 I root         231       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/14:1H-kblockd]
1 I root         233       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/3:1H-i915_cleanup]
1 I root         235       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/11:1H-i915_cleanup]
1 I root         237       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/5:1H-kblockd]
1 I root         242       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/12:1H-kblockd]
1 I root         244       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/4:1H-kblockd]
1 I root         272       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/8:1H-kblockd]
1 I root         273       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/10:1H-i915_cleanup]
1 I root         274       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/7:1H-events_highpri]
1 I root         276       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/6:1H-i915_cleanup]
1 I root         277       2  0  80   0 -     0 -      08:49 ?        00:00:00 [kworker/14:2-kec_query]
1 S root         309       2  0   9   - -     0 -      08:49 ?        00:00:05 [irq/152-VEN_06CB:00]
1 S root         311       2  0   9   - -     0 -      08:49 ?        00:00:00 [irq/153-aerdrv]
1 I root         313       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/R-nvme-wq]
1 I root         314       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/R-nvme-reset-wq]
1 I root         315       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/R-nvme-delete-wq]
1 I root         316       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/R-nvme-auth-wq]
1 I root         317       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/R-USBC000:00-con1]
1 I root         321       2  0  80   0 -     0 -      08:49 ?        00:00:00 [kworker/13:3-i915-unordered]
1 I root         354       2  0  80   0 -     0 -      08:49 ?        00:00:00 [kworker/9:1-cgroup_destroy]
1 S root         364       2  0  80   0 -     0 -      08:49 ?        00:00:00 [jbd2/nvme0n1p8-8]
1 I root         365       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/R-ext4-rsv-conversion]
1 I root         414       2  0  80   0 -     0 -      08:49 ?        00:00:00 [kworker/15:3-mm_percpu_wq]
4 S root         420       1  0  79  -1 - 16841 -      08:49 ?        00:00:00 /usr/lib/systemd/systemd-journald
4 S root         503       1  0  80   0 -  7690 -      08:49 ?        00:00:00 /usr/lib/systemd/systemd-udevd
1 I root         504       2  0  80   0 -     0 -      08:49 ?        00:00:00 [kworker/5:2-cgroup_destroy]
1 S root         531       2  0  58   - -     0 -      08:49 ?        00:00:00 [psimon]
1 I root         648       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/R-cfg80211]
1 I root         661       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/R-cryptd]
1 S root         664       2  0   9   - -     0 -      08:49 ?        00:00:00 [irq/172-iwlwifi:default_queue]
1 S root         665       2  0   9   - -     0 -      08:49 ?        00:00:00 [irq/173-iwlwifi:queue_1]
1 S root         666       2  0   9   - -     0 -      08:49 ?        00:00:00 [irq/174-iwlwifi:queue_2]
1 S root         667       2  0   9   - -     0 -      08:49 ?        00:00:00 [irq/175-iwlwifi:queue_3]
1 S root         668       2  0   9   - -     0 -      08:49 ?        00:00:00 [irq/176-iwlwifi:queue_4]
1 S root         669       2  0   9   - -     0 -      08:49 ?        00:00:00 [irq/177-iwlwifi:queue_5]
1 S root         670       2  0   9   - -     0 -      08:49 ?        00:00:00 [irq/178-iwlwifi:queue_6]
1 S root         671       2  0   9   - -     0 -      08:49 ?        00:00:00 [irq/179-iwlwifi:queue_7]
1 S root         672       2  0   9   - -     0 -      08:49 ?        00:00:00 [irq/180-iwlwifi:queue_8]
1 S root         673       2  0   9   - -     0 -      08:49 ?        00:00:00 [irq/181-iwlwifi:queue_9]
1 S root         674       2  0   9   - -     0 -      08:49 ?        00:00:00 [irq/182-iwlwifi:queue_10]
1 S root         675       2  0   9   - -     0 -      08:49 ?        00:00:00 [irq/183-iwlwifi:queue_11]
1 S root         676       2  0   9   - -     0 -      08:49 ?        00:00:00 [irq/184-iwlwifi:queue_12]
1 S root         677       2  0   9   - -     0 -      08:49 ?        00:00:00 [irq/185-iwlwifi:queue_13]
1 S root         678       2  0   9   - -     0 -      08:49 ?        00:00:00 [irq/186-iwlwifi:queue_14]
1 S root         679       2  0   9   - -     0 -      08:49 ?        00:00:00 [irq/187-iwlwifi:exception]
1 S root         700       2  0   9   - -     0 -      08:49 ?        00:00:00 [irq/16-processor_thermal_device_pci]
1 S root         705       2  0  80   0 -     0 -      08:49 ?        00:00:00 [nv_queue]
1 S root         706       2  0  80   0 -     0 -      08:49 ?        00:00:00 [nv_queue]
1 S root         707       2  0  80   0 -     0 -      08:49 ?        00:00:00 [nv_open_q]
1 I root         713       2  0  60 -20 -     0 -      08:49 ?        00:00:00 [kworker/R-ttm]
1 S root         720       2  0  80   0 -     0 -      08:49 ?        00:00:00 [nvidia-modeset/kthread_q]
1 S root         721       2  0  80   0 -     0 -      08:49 ?        00:00:00 [nvidia-modeset/deferred_close_kthread_q]
1 S root         732       2  0   9   - -     0 -      08:49 ?        00:00:00 [irq/188-nvidia]
1 S root         734       2  0  80   0 -     0 -      08:49 ?        00:00:00 [nv_queue]
1 S root         764       2  0   9   - -     0 -      08:49 ?        00:00:00 [card1-crtc0]
1 S root         765       2  0   9   - -     0 -      08:49 ?        00:00:00 [card1-crtc1]
1 S root         766       2  0   9   - -     0 -      08:49 ?        00:00:00 [card1-crtc2]
1 S root         767       2  0   9   - -     0 -      08:49 ?        00:00:00 [card1-crtc3]
4 S systemd+     868       1  0  80   0 -  4390 -      08:49 ?        00:00:01 /usr/lib/systemd/systemd-oomd
4 S systemd+     890       1  0  80   0 -  5396 -      08:49 ?        00:00:00 /usr/lib/systemd/systemd-resolved
4 S systemd+     891       1  0  80   0 - 22762 -      08:49 ?        00:00:00 /usr/lib/systemd/systemd-timesyncd
4 S avahi        956       1  0  80   0 -  2168 -      08:49 ?        00:00:00 avahi-daemon: running [sakshi-Dell-G15-5530.local]
4 S root         957       1  0  80   0 -  3381 -      08:49 ?        00:00:00 /usr/libexec/bluetooth/bluetoothd
4 S message+     958       1  0  80   0 -  3095 -      08:49 ?        00:00:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
4 S gnome-r+     962       1  0  80   0 - 91368 -      08:49 ?        00:00:00 /usr/libexec/gnome-remote-desktop-daemon --system
4 S polkitd      968       1  0  80   0 - 97701 -      08:49 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug
4 S root         971       1  0  80   0 - 78436 -      08:49 ?        00:00:00 /usr/libexec/power-profiles-daemon
4 S root         980       1  0  80   0 - 720873 -     08:49 ?        00:00:01 /usr/lib/snapd/snapd
4 S root         984       1  0  80   0 - 78350 -      08:49 ?        00:00:00 /usr/libexec/accounts-daemon
4 S root         987       1  0  80   0 -  2356 -      08:49 ?        00:00:00 /usr/sbin/cron -f -P
4 S root         988       1  0  80   0 - 77465 -      08:49 ?        00:00:00 /usr/libexec/switcheroo-control
4 S root         992       1  0  80   0 -  4539 -      08:49 ?        00:00:00 /usr/lib/systemd/systemd-logind
4 S root         993       1  0  80   0 - 106230 -     08:49 ?        00:00:09 /usr/sbin/thermald --systemd --dbus-enable --adaptive
4 S root         995       1  0  80   0 - 117367 -     08:49 ?        00:00:00 /usr/libexec/udisks2/udisksd
1 S avahi       1000     956  0  80   0 -  2120 -      08:49 ?        00:00:00 avahi-daemon: chroot helper
4 S syslog      1021       1  0  80   0 - 55641 -      08:49 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
4 S root        1039       1  0  80   0 - 84101 -      08:49 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
4 S root        1041       1  0  80   0 -  4345 -      08:49 ?        00:00:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
4 S root        1243       1  0  80   0 - 98045 -      08:49 ?        00:00:00 /usr/sbin/ModemManager
4 S root        1359       1  0  80   0 - 79293 -      08:49 ?        00:00:01 /usr/libexec/upowerd
4 S root        1371       1  0  80   0 -  9553 -      08:49 ?        00:00:00 /usr/sbin/cupsd -l
4 S root        1374       1  0  80   0 - 28064 -      08:49 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
1 S root        1397       1  0  80   0 -  1706 -      08:49 ?        00:00:00 /usr/sbin/apache2 -k start
5 S www-data    1399    1397  0  80   0 - 499847 -     08:49 ?        00:00:00 /usr/sbin/apache2 -k start
5 S www-data    1400    1397  0  80   0 - 499847 -     08:49 ?        00:00:00 /usr/sbin/apache2 -k start
1 S root        1458       2  0   9   - -     0 -      08:49 ?        00:00:00 [irq/190-AudioDSP]
1 S root        1581       2  0  80   0 -     0 -      08:49 ?        00:00:00 [UVM global queue]
1 S root        1582       2  0  80   0 -     0 -      08:49 ?        00:00:00 [UVM deferred release queue]
1 S root        1583       2  0  80   0 -     0 -      08:49 ?        00:00:00 [UVM Tools Event Queue]
5 S nvidia-+    1605       1  0  80   0 -   832 -      08:49 ?        00:00:00 /usr/bin/nvidia-persistenced --user nvidia-persistenced --no-persistence-mode --verbose
